baseline_similarity,mean_shift_similarity,regression_similarity,sampling_similarity,Sentence1,Sentence2
0.8641434619415431,0.8903929887831643,0.899232897785556,0.8541013588367667,The team played a winning game.,The team did not play a winning game.
0.9261743591866478,0.9609979566075584,0.9667872965107612,0.9238035661988244,The grasshopper nimbly hopped through the tall grass.,The grasshopper did not nimbly hop through the tall grass.
0.913146208429684,0.9478168014107375,0.959039069289778,0.9066742833914404,The snail slowly left a glistening trail.,The snail did not slowly leave a glistening trail.
0.9010606188466418,0.927568764956924,0.9366290562971438,0.8938621912706418,The company effectively managed its resources.,The company did not effectively manage its resources.
0.935927207901694,0.969322679585435,0.967528949470406,0.9312749582129319,The geologists examined the Earth's structure.,The geologists did not examine the Earth's structure.
0.8658327098517173,0.8870073615708268,0.900966625608218,0.8564509043402095,The organization successfully achieved its mission.,The organization did not successfully achieve its mission.
0.8921866887224261,0.9300735495326453,0.9376627983684922,0.878430738014998,The bees pollinated the flowers.,The bees did not pollinate the flowers.
0.9096820242431232,0.9508817410625974,0.9572686836034264,0.9096725778519027,The writer wrote a captivating story.,The writer did not write a captivating story.
0.8945513834499939,0.9333813230601574,0.9461414777010222,0.8958428098923019,The teacher patiently explained the concept.,The teacher did not patiently explain the concept.
0.840639442091282,0.8883129824198152,0.9103997337076191,0.8351833729564133,The company grew rapidly,The company did not grow rapidly
0.9512567435141359,0.9731508421205499,0.9714102347397973,0.9440516008927641,The plains stretched out as far as the eye could see.,The plains did not stretch out as far as the eye could see.
0.9500076880410001,0.9199807517471956,0.9130591177965499,0.9394311632061331,The painting was beautiful,The painting was ugly
0.8982483449386652,0.9284339098025135,0.9384213269839109,0.8953493283755999,The dragonflies hunted mosquitoes.,The dragonflies did not hunt mosquitoes.
0.9148803920084754,0.940934955781988,0.9500849594118197,0.90467604321645,The raccoons cleverly searched for food.,The raccoons did not cleverly search for food.
0.9245368800680724,0.9533150444069105,0.957354934485772,0.9180505655701131,The arctic foxes cleverly hunted their prey.,The arctic foxes did not cleverly hunt their prey.
0.9327508574485732,0.9606934493079692,0.9644906539473724,0.9297641378030529,The photographer skillfully captured the essence of the moment.,The photographer did not skillfully capture the essence of the moment.
